,Library,Plate,Well,Rate,Type,Column,Row
106,lib3,P2,A11,0.017764851,Variant,11,A
107,lib3,P2,A12,0.018349576,Variant,12,A
108,lib3,P2,B01,0.125012493,Variant,1,B
109,lib3,P2,B02,0.183463862,Variant,2,B
110,lib3,P2,B03,-0.003214151,Variant,3,B
111,lib3,P2,B04,0.020708958,Variant,4,B
112,lib3,P2,B05,0.199291965,Variant,5,B
113,lib3,P2,B06,0.057607691,Variant,6,B
114,lib3,P2,B07,0.074652471,Variant,7,B
115,lib3,P2,B08,0.416704426,Variant,8,B
116,lib3,P2,B09,0.055459511,Variant,9,B
117,lib3,P2,B10,0.200278041,Parent,10,B
118,lib3,P2,B11,-0.001378001,Variant,11,B
119,lib3,P2,B12,0.007115003,Variant,12,B
120,lib3,P2,C01,-0.003094313,Variant,1,C
121,lib3,P2,C02,0.036887716,Variant,2,C
122,lib3,P2,C03,0.167085507,Variant,3,C
123,lib3,P2,C04,0.203139319,Variant,4,C
124,lib3,P2,C05,0.012401162,Variant,5,C
125,lib3,P2,C06,0.374400337,Variant,6,C
126,lib3,P2,C07,0.137131257,Variant,7,C
127,lib3,P2,C08,0.003786592,Variant,8,C
128,lib3,P2,C09,-0.012527386,Variant,9,C
129,lib3,P2,C10,0.179059786,Parent,10,C
130,lib3,P2,C11,0.058711916,Variant,11,C
131,lib3,P2,C12,0.000726115,Variant,12,C
132,lib3,P2,D01,-0.008578596,Variant,1,D
133,lib3,P2,D02,0.207680695,Variant,2,D
134,lib3,P2,D03,0.324616564,Variant,3,D
135,lib3,P2,D04,0.315817596,Variant,4,D
136,lib3,P2,D05,0.512260077,Variant,5,D
137,lib3,P2,D06,0.068488109,Variant,6,D
138,lib3,P2,D07,0.346752787,Variant,7,D
139,lib3,P2,D08,0.02256022,Variant,8,D
140,lib3,P2,D09,0.012484065,Variant,9,D
141,lib3,P2,D10,0.188197222,Parent,10,D
142,lib3,P2,D11,0.017033655,Variant,11,D
143,lib3,P2,D12,0.047372831,Variant,12,D
144,lib3,P2,E01,0.192959826,Variant,1,E
145,lib3,P2,E02,-0.031088947,Variant,2,E
146,lib3,P2,E03,-0.01222925,Variant,3,E
147,lib3,P2,E04,0.289083814,Variant,4,E
148,lib3,P2,E05,-0.00971878,Variant,5,E
149,lib3,P2,E06,-0.00040948,Variant,6,E
150,lib3,P2,E07,0.301272997,Variant,7,E
151,lib3,P2,E08,0.041520959,Variant,8,E
152,lib3,P2,E09,0.085958914,Variant,9,E
153,lib3,P2,E10,-0.004820208,Sterile,10,E
154,lib3,P2,E11,0.107293834,Variant,11,E
155,lib3,P2,E12,0.153723848,Variant,12,E
156,lib3,P2,F01,0.440496561,Variant,1,F
157,lib3,P2,F02,0.060940137,Variant,2,F
158,lib3,P2,F03,0.129725956,Variant,3,F
159,lib3,P2,F04,0.33861775,Variant,4,F
160,lib3,P2,F05,-0.008490067,Variant,5,F
161,lib3,P2,F06,0.068250822,Variant,6,F
162,lib3,P2,F07,0.05850355,Variant,7,F
163,lib3,P2,F08,0.009433072,Variant,8,F
164,lib3,P2,F09,0.004894345,Variant,9,F
165,lib3,P2,F10,-0.00878151,Sterile,10,F
166,lib3,P2,F11,0.17310683,Variant,11,F
167,lib3,P2,F12,0.004158854,Variant,12,F
168,lib3,P2,G01,0.178020598,Variant,1,G
169,lib3,P2,G02,0.382293981,Variant,2,G
170,lib3,P2,G03,0.002065811,Variant,3,G
171,lib3,P2,G04,0.608627784,Variant,4,G
172,lib3,P2,G05,0.099353545,Variant,5,G
173,lib3,P2,G06,-0.002860833,Variant,6,G
174,lib3,P2,G07,0.111105558,Variant,7,G
175,lib3,P2,G08,0.329390319,Variant,8,G
176,lib3,P2,G09,0.127307176,Variant,9,G
177,lib3,P2,G10,0.001551131,Negative,10,G
178,lib3,P2,G11,0.142278752,Variant,11,G
179,lib3,P2,G12,0.382222314,Variant,12,G
180,lib3,P2,H01,0.317232705,Variant,1,H
181,lib3,P2,H02,-0.020392743,Variant,2,H
182,lib3,P2,H03,0.15912591,Variant,3,H
183,lib3,P2,H04,0.303804786,Variant,4,H
184,lib3,P2,H05,0.402578428,Variant,5,H
185,lib3,P2,H06,-0.02196305,Variant,6,H
186,lib3,P2,H07,-0.015861397,Variant,7,H
187,lib3,P2,H08,0.037902644,Variant,8,H
188,lib3,P2,H09,0.103521403,Variant,9,H
189,lib3,P2,H10,0.000582388,Negative,10,H
190,lib3,P2,H11,0.189781178,Variant,11,H
191,lib3,P2,H12,0.028355964,Variant,12,H
192,lib3,P4,A01,0.274736378,Variant,1,A
193,lib3,P4,A02,0.007966562,Variant,2,A
194,lib3,P4,A03,0.330964048,Variant,3,A
195,lib3,P4,A04,0.261506488,Variant,4,A
196,lib3,P4,A05,0.377691622,Variant,5,A
197,lib3,P4,A06,-0.015297154,Variant,6,A
198,lib3,P4,A07,0.333557993,Variant,7,A
199,lib3,P4,A08,0.026399775,Variant,8,A
200,lib3,P4,A09,-0.001681191,Variant,9,A
201,lib3,P4,A10,0.255852082,Parent,10,A
202,lib3,P4,A11,0.150284865,Variant,11,A
203,lib3,P4,A12,0.12682234,Variant,12,A
204,lib3,P4,B01,0.022449364,Variant,1,B
205,lib3,P4,B02,0.349782214,Variant,2,B
206,lib3,P4,B03,0.282786111,Variant,3,B
207,lib3,P4,B04,0.000984582,Variant,4,B
208,lib3,P4,B05,0.145891943,Variant,5,B
209,lib3,P4,B06,0.099445346,Variant,6,B
210,lib3,P4,B07,0.004432275,Variant,7,B
211,lib3,P4,B08,0.012801861,Variant,8,B
212,lib3,P4,B09,0.006083327,Variant,9,B
213,lib3,P4,B10,0.252448254,Parent,10,B
214,lib3,P4,B11,0.130870451,Variant,11,B
215,lib3,P4,B12,-0.000359173,Variant,12,B
216,lib3,P4,C01,0.448079314,Variant,1,C
217,lib3,P4,C02,0.040637294,Variant,2,C
218,lib3,P4,C03,0.252280453,Variant,3,C
219,lib3,P4,C04,0.604630028,Variant,4,C
220,lib3,P4,C05,0.018840435,Variant,5,C
221,lib3,P4,C06,-0.004026427,Variant,6,C
222,lib3,P4,C07,0.340563327,Variant,7,C
223,lib3,P4,C08,0.425287737,Variant,8,C
224,lib3,P4,C09,0.037748766,Variant,9,C
225,lib3,P4,C10,0.21308328,Parent,10,C
226,lib3,P4,C11,0.001884393,Variant,11,C
227,lib3,P4,C12,0.524185555,Variant,12,C
228,lib3,P4,D01,0.220710872,Variant,1,D
229,lib3,P4,D02,0.532994428,Variant,2,D
230,lib3,P4,D03,-0.018185619,Variant,3,D
231,lib3,P4,D04,0.048828158,Variant,4,D
232,lib3,P4,D05,0.054303884,Variant,5,D
233,lib3,P4,D06,0.11669825,Variant,6,D
234,lib3,P4,D07,0.17840276,Variant,7,D
235,lib3,P4,D08,0.006119087,Variant,8,D
236,lib3,P4,D09,0.083485746,Variant,9,D
237,lib3,P4,D10,0.254318308,Parent,10,D
238,lib3,P4,D11,0.011396902,Variant,11,D
239,lib3,P4,D12,0.025143279,Variant,12,D
240,lib3,P4,E01,0.01103481,Variant,1,E
241,lib3,P4,E02,0.140384583,Variant,2,E
242,lib3,P4,E03,0.033576636,Variant,3,E
243,lib3,P4,E04,0.092988217,Variant,4,E
244,lib3,P4,E05,0.087352633,Variant,5,E
245,lib3,P4,E06,-0.013155574,Variant,6,E
246,lib3,P4,E07,0.061239877,Variant,7,E
247,lib3,P4,E08,-0.010256128,Variant,8,E
248,lib3,P4,E09,0.471472333,Variant,9,E
249,lib3,P4,E10,-0.008455359,Sterile,10,E
250,lib3,P4,E11,0.154048895,Variant,11,E
251,lib3,P4,E12,0.177126696,Variant,12,E
252,lib3,P4,F01,0.238505371,Variant,1,F
253,lib3,P4,F02,-0.008805739,Variant,2,F
254,lib3,P4,F03,0.012159017,Variant,3,F
255,lib3,P4,F04,-0.008017759,Variant,4,F
256,lib3,P4,F05,0.137853605,Variant,5,F
257,lib3,P4,F06,-0.006258265,Variant,6,F
